Algorithm,Best Fitness,Best Found At Evaluation,Best Solution ID,Candidate Type,Crossover Hamming Parent 1,Crossover Hamming Parent 2,Dataset,Evaluation,Experiment Name,Final Percentage,Fitness,Generation,Improved Best,Initial Percentage,Model,Mutation Applied,Mutation Hamming Distance,Mutation Swaps,Offspring Number,Parent 1 Fitness,Parent 1 ID,Parent 1 Index,Parent 2 Fitness,Parent 2 ID,Parent 2 Index,Parent Hamming Distance,Population Slot,Requested Keep Percentage,Run ID,Search Seed,Selected Instances,Solution ID,Split Seed,Target Metric,Training Seed,accuracy,best_epoch,best_validation_loss,candidate_duration_seconds,epochs_trained,evaluation_loss,evaluation_split,f1,precision,recall,training_seed
GEN,0.7674,1,1,initial,,,CIFAR10,1,prelim_features_cifar10_alexnet_GEN_kp10,0.1,0.7674,0,True,0.1,alexnet,False,0,0,,,,,,,,,1,0.1,CIFAR10_alexnet_GEN_accuracy_kp1000_seed42,42,4000,1,42,accuracy,100042,0.7674,4,0.6571664136886597,6.79744681995362,10,0.6571664136886597,valid,0.7679688887208254,0.7722099256462458,0.7674,100042
GEN,0.7683,2,2,initial,,,CIFAR10,2,prelim_features_cifar10_alexnet_GEN_kp10,0.1,0.7683,0,True,0.1,alexnet,False,0,0,,,,,,,,,2,0.1,CIFAR10_alexnet_GEN_accuracy_kp1000_seed42,42,4000,2,42,accuracy,100042,0.7683,3,0.6705276638031006,5.415114207193255,10,0.6705276638031006,valid,0.7672856529337417,0.7692909441006928,0.7683,100042
GEN,0.7688,3,3,initial,,,CIFAR10,3,prelim_features_cifar10_alexnet_GEN_kp10,0.1,0.7688,0,True,0.1,alexnet,False,0,0,,,,,,,,,3,0.1,CIFAR10_alexnet_GEN_accuracy_kp1000_seed42,42,4000,3,42,accuracy,100042,0.7688,3,0.6594803457736969,5.338503072038293,10,0.6594803457736969,valid,0.7685957643182726,0.7709492308616024,0.7687999999999999,100042
GEN,0.7742,4,4,initial,,,CIFAR10,4,prelim_features_cifar10_alexnet_GEN_kp10,0.1,0.7742,0,True,0.1,alexnet,False,0,0,,,,,,,,,4,0.1,CIFAR10_alexnet_GEN_accuracy_kp1000_seed42,42,4000,4,42,accuracy,100042,0.7742,4,0.6623416124820709,5.437656428664923,10,0.6623416124820709,valid,0.7732248755317754,0.7782677263725604,0.7742,100042
GEN,0.7742,4,4,initial,,,CIFAR10,5,prelim_features_cifar10_alexnet_GEN_kp10,0.1,0.7694,0,False,0.1,alexnet,False,0,0,,,,,,,,,5,0.1,CIFAR10_alexnet_GEN_accuracy_kp1000_seed42,42,4000,5,42,accuracy,100042,0.7694,5,0.6713914436340332,5.342215597629547,10,0.6713914436340332,valid,0.7685654479625248,0.7717437790455326,0.7694,100042
GEN,0.7742,4,4,initial,,,CIFAR10,6,prelim_features_cifar10_alexnet_GEN_kp10,0.1,0.7682,0,False,0.1,alexnet,False,0,0,,,,,,,,,6,0.1,CIFAR10_alexnet_GEN_accuracy_kp1000_seed42,42,4000,6,42,accuracy,100042,0.7682,3,0.6671045210838318,5.400929253548384,10,0.6671045210838318,valid,0.7680366455938666,0.7696004624849387,0.7682,100042
GEN,0.7742,4,4,initial,,,CIFAR10,7,prelim_features_cifar10_alexnet_GEN_kp10,0.1,0.7716,0,False,0.1,alexnet,False,0,0,,,,,,,,,7,0.1,CIFAR10_alexnet_GEN_accuracy_kp1000_seed42,42,4000,7,42,accuracy,100042,0.7716,4,0.6609307138442994,5.35809163376689,10,0.6609307138442994,valid,0.771434608047688,0.7731769915324483,0.7716000000000001,100042
GEN,0.7753,8,8,initial,,,CIFAR10,8,prelim_features_cifar10_alexnet_GEN_kp10,0.1,0.7753,0,True,0.1,alexnet,False,0,0,,,,,,,,,8,0.1,CIFAR10_alexnet_GEN_accuracy_kp1000_seed42,42,4000,8,42,accuracy,100042,0.7753,5,0.6666222560405731,5.339579068124294,10,0.6666222560405731,valid,0.7751204316831107,0.7803111191873048,0.7753,100042
GEN,0.7753,8,8,initial,,,CIFAR10,9,prelim_features_cifar10_alexnet_GEN_kp10,0.1,0.7674,0,False,0.1,alexnet,False,0,0,,,,,,,,,9,0.1,CIFAR10_alexnet_GEN_accuracy_kp1000_seed42,42,4000,9,42,accuracy,100042,0.7674,3,0.6697079975128174,5.348588274791837,10,0.6697079975128174,valid,0.7665195011387531,0.7725841036583349,0.7674000000000001,100042
GEN,0.7815,10,10,initial,,,CIFAR10,10,prelim_features_cifar10_alexnet_GEN_kp10,0.1,0.7815,0,True,0.1,alexnet,False,0,0,,,,,,,,,10,0.1,CIFAR10_alexnet_GEN_accuracy_kp1000_seed42,42,4000,10,42,accuracy,100042,0.7815,4,0.6612616829872131,5.337311535142362,10,0.6612616829872131,valid,0.7815689385154211,0.7827326274895205,0.7815000000000001,100042
GEN,0.7815,10,10,offspring,3576,3636,CIFAR10,11,prelim_features_cifar10_alexnet_GEN_kp10,0.1,0.77,1,False,0.1,alexnet,False,0,0,1,0.7742,4,4,0.7815,10,10,7212,2,0.1,CIFAR10_alexnet_GEN_accuracy_kp1000_seed42,42,4000,11,42,accuracy,100042,0.77,3,0.6562807695388794,5.346681524068117,10,0.6562807695388794,valid,0.7708531180296109,0.7754253024179544,0.77,100042
GEN,0.7815,10,10,offspring,3636,3576,CIFAR10,12,prelim_features_cifar10_alexnet_GEN_kp10,0.1,0.775,1,False,0.1,alexnet,False,0,0,2,0.7742,4,4,0.7815,10,10,7212,3,0.1,CIFAR10_alexnet_GEN_accuracy_kp1000_seed42,42,4000,12,42,accuracy,100042,0.775,4,0.6679511399269104,5.361476544290781,10,0.6679511399269104,valid,0.774527420009697,0.7776877632960165,0.775,100042
GEN,0.7815,10,10,offspring,3570,3660,CIFAR10,13,prelim_features_cifar10_alexnet_GEN_kp10,0.1,0.7737,1,False,0.1,alexnet,False,0,0,1,0.7815,10,10,0.7682,6,6,7230,4,0.1,CIFAR10_alexnet_GEN_accuracy_kp1000_seed42,42,4000,13,42,accuracy,100042,0.7737,4,0.6671682257175445,5.3162813959643245,10,0.6671682257175445,valid,0.773937900554995,0.7796936580525415,0.7737,100042
GEN,0.7815,10,10,offspring,3660,3570,CIFAR10,14,prelim_features_cifar10_alexnet_GEN_kp10,0.1,0.7764,1,False,0.1,alexnet,True,400,200,2,0.7815,10,10,0.7682,6,6,7230,5,0.1,CIFAR10_alexnet_GEN_accuracy_kp1000_seed42,42,4000,14,42,accuracy,100042,0.7764,5,0.6617667853355408,5.346809444949031,10,0.6617667853355408,valid,0.7758327977462938,0.7766429346617285,0.7764,100042
